person_id,chat_id,date,date_unixtime,org_txt,reply_to_message_id,text,channel_name
channel1247075296,361131,2023-04-17T16:18:05,1681735685,"وضعیت بازار در این لحظه
🔳
ارزش معاملات :
▫️ 74 هزار و 500 میلیارد ریال 
🔳
بیشترین حجم معاملات :
▫️ شستا      722       میلیون سهم 
▫️ کرمان      690        میلیون سهم  
▫️ دی         662        میلیون سهم
▫️ خساپا     595        میلیون سهم
▫️ وپارس    488        میلیون سهم


",,"وضعیت بازار در این لحظه

ارزش معاملات :
 74 هزار و 500 میلیارد ریال 

بیشترین حجم معاملات :
 <شستا> 722 میلیون سهم 
 کرمان 690 میلیون سهم 
 دی 662 میلیون سهم
 <خساپا> 595 میلیون سهم
 <وپارس> 488 میلیون سهم",گروه هزار تحلیل
channel1247075296,361132,2023-04-17T16:18:12,1681735692,"زیرمجموعه سایپا پیشنهاد افزایش سرمایه ۳۱۸ درصدی داد
از محل مطالبات و آورده نقدی:
زیرمجموعه سایپا از پیشنهاد هیات مدیره مبنی بر افزایش سرمایه ۳۱۸ درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد.
🔹به گزارش پایگاه خبری بورس پرس، شرکت سایپا شیشه از برنامه افزایش سرمایه 318 درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد.
🔹بر اساس این گزارش، ""کساپا"" در نظر دارد سرمایه فعلی را از 62.8 به 262.8 میلیارد تومان برساند. تامین مالی این شرکت بورسی از محل مطالبات سهامداران و آورده نقدی به منظور توسعه ماشین آلات و تجهیزات و طرح های مصوب اعمال خواهد شد.


",,"زیرمجموعه سایپا پیشنهاد افزایش سرمایه 318 درصدی داد
از محل مطالبات و آورده نقدی :
 زیرمجموعه سایپا از پیشنهاد هیات مدیره مبنی بر افزایش سرمایه 318 درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد .
 به گزارش پایگاه خبری <بورس> پرس ، شرکت سایپا شیشه از برنامه افزایش سرمایه 318 درصدی از محل مطالبات سهامداران و آورده نقدی خبر داد .
 بر اساس این گزارش ، "" <کساپا> "" در نظر دارد سرمایه فعلی را از 62.8 به 262.8 میلیارد تومان برساند . تامین مالی این شرکت بورسی از محل مطالبات سهامداران و آورده نقدی به منظور توسعه ماشین آلات و تجهیزات و طرح‌های مصوب اعمال خواهد شد .",گروه هزار تحلیل
channel1247075296,361143,2023-04-17T16:18:53,1681735733,"▪️ رئیس قوه قضاییه: در نیمه دوم ۱۴۰۰ وزیر صمت خواستار اختیاراتی شد و وعده داد با افزایش تولید خودرو، قیمت‌ها کاهش یابد اما این اتفاق نیفتاد/ فروش خودرو در بورس باعث افزایش درآمد دستگاه‌های ذیربط شد اما قیمت چطور؟!


",,رئیس قوه قضاییه : در نیمه دوم 1400 وزیر صمت خواستار اختیاراتی شد و وعده داد با افزایش تولید <خودرو> ، قیمت‌ها کاهش یابد اما این اتفاق نیفتاد / فروش <خودرو> در <بورس> باعث افزایش درآمد دستگاه‌های ذیربط شد اما قیمت چطور ؟!,گروه هزار تحلیل
channel1247075296,361152,2023-04-18T08:58:37,1681795717,"واریز سودهای رسوبی به بیش از ۷.۲ همت رسید
شرکت سپرده‌گذاری مرکزی اوراق بهادار و تسویه وجوه اعلام کرد: از ابتدای سال ۱۴۰۱ تا ۲۸ فروردین ۱۴۰۲، ۷ هزار و ۲۸۰ میلیارد تومان سود سنواتی از سوی سمات به وسیله سامانه سجام پرداخت شد. | سنا


",,"واریز سودهای رسوبی به بیش از 7.2 همت رسید
شرکت سپرده‌گذاری مرکزی اوراق بهادار و تسویه وجوه اعلام کرد : از ابتدای سال 1401 تا 28 فروردین 1402 ، 7 هزار و 280 میلیارد تومان سود سنواتی از سوی سمات به‌وسیله سامانه سجام <پرداخت> شد . | سنا",گروه هزار تحلیل
channel1247075296,361155,2023-04-18T11:18:35,1681804115,"شرکت بازار پایه ای پیشنهاد افزایش سرمایه از محل سود انباشته داد
شرکت حاضر در بازار پایه از پیشنهاد هیات مدیره مبنی بر افزایش سرمایه ۲۸ درصدی از محل سود انباشته خبر داد.
🔹به گزارش پایگاه خبری بورس پرس، شرکت واسپاری تجار ایرانیان از برنامه افزایش سرمایه 28 درصدی از محل سود انباشته خبر داد.
🔹بر اساس این گزارش، ""ولتجار"" در صدد است سرمایه فعلی را از 180 به 230 میلیارد تومان برساند. تامین مالی این شرکت حاضر در تابلو زرد بازار پایه از محل سود انباشته اعمال خواهد شد تا صرف توسعه عملیات لیزینگ شود.


",,"شرکت بازار پایه‌ای پیشنهاد افزایش سرمایه از محل سود انباشته داد
شرکت حاضر در بازار پایه از پیشنهاد هیات مدیره مبنی بر افزایش سرمایه 28 درصدی از محل سود انباشته خبر داد .
 به گزارش پایگاه خبری <بورس> پرس ، شرکت واسپاری تجار ایرانیان از برنامه افزایش سرمایه 28 درصدی از محل سود انباشته خبر داد .
 بر اساس این گزارش ، "" ولتجار "" در صدد است سرمایه فعلی را از 180 به 230 میلیارد تومان برساند . تامین مالی این شرکت حاضر در تابلو زرد بازار پایه از محل سود انباشته اعمال خواهد شد تا صرف توسعه عملیات لیزینگ شود .",گروه هزار تحلیل
user164684213,361156,2023-04-18T10:19:41,1681800581,"برکت قابل بررسی مثبت ۱
",,<برکت> قابل بررسی مثبت 1,گروه هزار تحلیل
channel1247075296,361157,2023-04-18T11:18:38,1681804118,"وضعیت بازار در این لحظه
🔳
ارزش معاملات :
▫️ 76 هزار و 700 میلیارد ریال 
🔳
بیشترین حجم معاملات :
▫️ خودرو      1،118     میلیون سهم 
▫️ خساپا      852        میلیون سهم  
▫️ شستا      732        میلیون سهم
▫️ وبصادر    708        میلیون سهم
▫️ وبملت    625        میلیون سهم


",,"وضعیت بازار در این لحظه

ارزش معاملات :
 76 هزار و 700 میلیارد ریال 

بیشترین حجم معاملات :
 <خودرو> 1 ، 118 میلیون سهم 
 <خساپا> 852 میلیون سهم 
 <شستا> 732 میلیون سهم
 <وبصادر> 708 میلیون سهم
 <وبملت> 625 میلیون سهم",گروه هزار تحلیل
channel1247075296,361162,2023-04-18T11:19:05,1681804145,"طرح استیضاح وزیر اقتصاد در مجلس به دلیل کاهش امضاها منتفی شد
طرح استیضاح وزیر اقتصاد توسط برخی نمایندگان مجلس به دلیل کاهش تعداد امضاها به کمتر از ۱۰ نفر، منتفی شد.
🔹به گزارش پایگاه خبری بورس پرس، احمد نادری عضو هیات رییسه مجلس، گفت: طرح استیضاح احسان خاندوزی به دلیل کاهش تعداد امضاهای نمایندگان به کمتر از 10 نفر، منتفی شد.
🔹براساس این گزارش، حسینعلی حاجی‌دلیگانی دیگر عضو عیات رئیسه مجلس پیش از این گفته بود: در جلسه دیروز نمایندگان خواهان استیضاح با خاندوزی، اعلام دفاعیات قانع کننده نبود و مقرر شد اگر تا امروز سه شنبه تعداد متقاضیان هر یک از سه طرح استیضاح خاندوزی از حد نصاب کمتر نباشد، طرح استیضاح وی اعلام وصول شود.


",,"طرح استیضاح وزیر اقتصاد در مجلس به دلیل کاهش امضاها منتفی شد
طرح استیضاح وزیر اقتصاد توسط برخی نمایندگان مجلس به دلیل کاهش تعداد امضاها به کمتر از 10 نفر ، منتفی شد .
 به گزارش پایگاه خبری <بورس> پرس ، احمد نادری عضو هیات رییسه مجلس ، گفت : طرح استیضاح احسان خاندوزی به دلیل کاهش تعداد امضاهای نمایندگان به کمتر از 10 نفر ، منتفی شد .
 براساس این گزارش ، حسینعلی حاجی‌دلیگانی دیگر عضو عیات رئیسه مجلس پیش از این گفته‌بود : در جلسه دیروز نمایندگان خواهان استیضاح با خاندوزی ، اعلام دفاعیات قانع‌کننده نبود و مقرر شد اگر تا امروز سه شنبه تعداد متقاضیان هر یک از سه طرح استیضاح خاندوزی از حد نصاب کمتر نباشد ، طرح استیضاح وی اعلام وصول شود .",گروه هزار تحلیل
user173580999,361166,2023-04-18T11:08:46,1681803526,"تکنو
برا خرید زیر نظر داشته باشید
",,"<تکنو>
برا خرید زیر نظر داشته باشید",گروه هزار تحلیل
channel1247075296,361171,2023-04-18T12:49:22,1681809562,"سخنگوی دولت تغییر «وزیر صمت» را تکذیب کرد
بهادری جهرمی در نشست خبری هفتگی:
🔹بیشترین مورد بحث برانگیز در عملکرد وزارت صمت، حوزه خودرو است که یک بخش کوچکی از کل حوزه وزارت صمت است.
🔹وزارت صنعت، معدن و تجارت گستره بسیار زیادی از حوزه های فعالیت دارد که خودرو بخش کوچکی از آن محسوب می شود.
🔹نرخ رشد صنعت، تجارت و معدن در دور فاطمی‌امین رشد قابل توجهی داشته است.آمارهای عملکردی در حوزه های مختلف وزارت صمت، قابل قبول است.
🔹دولت قصد هیچ گونه تغییری در حوزه وزارت صمت ندارد.


",,"سخنگوی دولت تغییر « وزیر صمت » را تکذیب کرد
بهادری جهرمی در نشست خبری هفتگی :
 بیش‌ترین مورد بحث برانگیز در عمل‌کرد وزارت صمت ، حوزه <خودرو> است که یک بخش کوچکی از کل حوزه وزارت صمت است .
 وزارت صنعت ، معدن و تجارت گستره بسیار زیادی از حوزه‌های فعالیت دارد که <خودرو> بخش کوچکی از آن محسوب می‌شود .
 نرخ رشد صنعت ، تجارت و معدن در دور فاطمی‌امین رشد قابل‌توجهی داشته است . آمارهای عملکردی در حوزه‌های مختلف وزارت صمت ، قابل قبول است .
 دولت قصد هیچ‌گونه تغییری در حوزه وزارت صمت ندارد .",گروه هزار تحلیل
channel1247075296,361177,2023-04-18T21:31:37,1681840897,"ارزش معاملات خرد بورس تهران
",,ارزش معاملات خرد <بورس> تهران,گروه هزار تحلیل
channel1247075296,361179,2023-04-18T21:31:48,1681840908,"کلیات بازار، میزان تغییرات ارزش معاملات و شاخص صنایع بورس مورخ 1402/01/29
",,کلیات بازار ، میزان تغییرات ارزش معاملات و شاخص صنایع <بورس> مورخ 1402 / 01 / 29,گروه هزار تحلیل
channel1247075296,361180,2023-04-18T15:13:22,1681818202,"تسنیم مدعی شد: کاهش ۴۰ تا ۹۰ میلیونی قیمت خودرو در بازار
🔹بررسی امروز بازار خودرو نشان می‌دهد در خودروهای داخلی کاهش قیمت‌ها بین ۳۰ تا ۴۰ میلیون تومان و در خودروهای مونتاژی هم کاهش قیمت‌ها به ۹۰ میلیون تومان رسیده است.
🔹به عنوان نمونه پژو ۲۰۶ که هفته پیش با قیمت ۶۶۰ میلیون تومان معامله می شد امروز به قیمت ۶۱۵ میلیون تومان رسیده است. پژو پارس نیز از ۶۵۵ میلیون تومان به ۶۰۹ میلیون تومان رسیده است.
",,"تسنیم مدعی شد : کاهش 40 تا 90 میلیونی قیمت <خودرو> در بازار
بررسی امروز بازار <خودرو> نشان می‌دهد در خودروهای داخلی کاهش قیمت‌ها بین 30 تا 40 میلیون تومان و در خودروهای مونتاژی هم کاهش قیمت‌ها به 90 میلیون تومان رسیده است .
 به عنوان نمونه پژو 206 که هفته پیش با قیمت 660 میلیون تومان معامله می‌شد امروز به قیمت 615 میلیون تومان رسیده است . پژو <پارس> نیز از 655 میلیون تومان به 609 میلیون تومان رسیده است .",گروه هزار تحلیل
